xflr5 v6.50

Plane name :        MXS
Polar name :        T1-15.0 m/s-VLM1
Freestream speed :  15.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -15.000     0.000  -1.130506   0.090352   0.061630   0.151982  -0.000000   0.000000   0.601187   0.000000   0.000000   15.0000     0.1335
  -14.900     0.000  -1.123452   0.089220   0.037955   0.127175  -0.000000   0.000000   0.595734   0.000000   0.000000   15.0000     0.1335
  -14.800     0.000  -1.116390   0.088094   0.034389   0.122483  -0.000000   0.000000   0.591857   0.000000   0.000000   15.0000     0.1335
  -14.700     0.000  -1.109318   0.086973   0.033769   0.120743  -0.000000   0.000000   0.588204   0.000000   0.000000   15.0000     0.1334
  -14.600     0.000  -1.102237   0.085859   0.033161   0.119020  -0.000000  -0.000000   0.584545   0.000000   0.000000   15.0000     0.1334
  -14.500     0.000  -1.095147   0.084750   0.032461   0.117212  -0.000000   0.000000   0.580872   0.000000   0.000000   15.0000     0.1334
  -14.400     0.000  -1.088047   0.083648   0.031767   0.115414  -0.000000   0.000000   0.577193   0.000000   0.000000   15.0000     0.1333
  -14.300     0.000  -1.080938   0.082551   0.031140   0.113691  -0.000000  -0.000000   0.573513   0.000000   0.000000   15.0000     0.1333
  -14.200     0.000  -1.073821   0.081460   0.030591   0.112052  -0.000000  -0.000000   0.569833   0.000000   0.000000   15.0000     0.1332
  -14.100     0.000  -1.066694   0.080375   0.030186   0.110561  -0.000000  -0.000000   0.566156   0.000000   0.000000   15.0000     0.1332
  -14.000     0.000  -1.059558   0.079297   0.029803   0.109100  -0.000000   0.000000   0.562474   0.000000   0.000000   15.0000     0.1332
  -13.900     0.000  -1.052413   0.078224   0.029436   0.107660  -0.000000  -0.000000   0.558786   0.000000   0.000000   15.0000     0.1331
  -13.800     0.000  -1.045260   0.077158   0.029115   0.106273  -0.000000   0.000000   0.555095   0.000000   0.000000   15.0000     0.1331
  -13.700     0.000  -1.038097   0.076097   0.028828   0.104925  -0.000000   0.000000   0.551399   0.000000   0.000000   15.0000     0.1331
  -13.600     0.000  -1.030926   0.075043   0.028562   0.103604  -0.000000   0.000000   0.547698   0.000000   0.000000   15.0000     0.1330
  -13.500     0.000  -1.023746   0.073995   0.028292   0.102287  -0.000000   0.000000   0.543991   0.000000   0.000000   15.0000     0.1330
  -13.400     0.000  -1.016558   0.072953   0.028022   0.100975  -0.000000  -0.000000   0.540276   0.000000   0.000000   15.0000     0.1330
  -13.300     0.000  -1.009361   0.071918   0.027746   0.099664  -0.000000  -0.000000   0.536555   0.000000   0.000000   15.0000     0.1329
  -13.200     0.000  -1.002155   0.070889   0.027454   0.098343  -0.000000   0.000000   0.532825   0.000000   0.000000   15.0000     0.1329
  -13.100     0.000  -0.994941   0.069866   0.027123   0.096989  -0.000000   0.000000   0.529087   0.000000   0.000000   15.0000     0.1329
  -13.000     0.000  -0.987719   0.068849   0.026774   0.095623  -0.000000  -0.000000   0.525341   0.000000   0.000000   15.0000     0.1328
  -12.900     0.000  -0.980488   0.067839   0.026433   0.094272  -0.000000   0.000000   0.521589   0.000000   0.000000   15.0000     0.1328
  -12.800     0.000  -0.973249   0.066836   0.026093   0.092929  -0.000000   0.000000   0.517831   0.000000   0.000000   15.0000     0.1328
  -12.700     0.000  -0.966001   0.065839   0.025783   0.091622  -0.000000  -0.000000   0.514068   0.000000   0.000000   15.0000     0.1327
  -12.600     0.000  -0.958746   0.064848   0.025502   0.090350  -0.000000   0.000000   0.510301   0.000000   0.000000   15.0000     0.1327
  -12.500     0.000  -0.951482   0.063864   0.025253   0.089117  -0.000000   0.000000   0.506530   0.000000   0.000000   15.0000     0.1327
  -12.400     0.000  -0.944210   0.062886   0.025010   0.087896  -0.000000  -0.000000   0.502753   0.000000   0.000000   15.0000     0.1327
  -12.300     0.000  -0.936930   0.061915   0.024762   0.086677  -0.000000  -0.000000   0.498970   0.000000   0.000000   15.0000     0.1326
  -12.200     0.000  -0.929643   0.060951   0.024514   0.085465  -0.000000   0.000000   0.495180   0.000000   0.000000   15.0000     0.1326
