Objects
30
,,Global Angle Crazyflie_01:Crazyflie_01,,,,,,Global Angle LowerTriangle:LowerTriangle,,,,,,Global Angle MXS:MXS,,,,,,Global Angle clover13:clover13,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,,,,,,,0.003181,-0.000012,0.005075,1034.508057,1041.773438,573.834229,2.157546,2.284934,-0.019399,49.357708,-1161.823242,302.140808,,,,,,
2,0,,,,,,,0.003260,-0.000022,0.005104,1034.483154,1041.860718,573.804565,2.157556,2.284904,-0.019346,49.369488,-1161.816040,302.142944,,,,,,
3,0,,,,,,,0.003247,0.000032,0.005280,1034.495850,1041.924438,573.827148,2.157428,2.284953,-0.019485,49.337826,-1161.767212,302.117676,,,,,,
4,0,,,,,,,0.003247,0.000184,0.005481,1034.500732,1041.998657,573.817322,2.157470,2.284964,-0.019536,49.337303,-1161.798340,302.113647,,,,,,
5,0,,,,,,,0.003316,0.000219,0.005531,1034.493652,1042.015747,573.804260,2.157514,2.284915,-0.019423,49.335079,-1161.769043,302.105774,,,,,,
6,0,,,,,,,0.003069,0.000024,0.006641,1034.599854,1042.341553,573.855469,2.157478,2.284949,-0.019511,49.316109,-1161.768555,302.088226,,,,,,
7,0,,,,,,,0.002984,0.000382,0.006890,1034.697510,1042.503906,573.922058,2.157492,2.284944,-0.019465,49.332863,-1161.762451,302.101227,,,,,,
8,0,,,,,,,0.003135,0.000056,0.006903,1034.552246,1042.413208,573.851196,2.157567,2.284932,-0.019362,49.372139,-1161.812256,302.147003,,,,,,
9,0,,,,,,,0.003109,0.000129,0.007035,1034.544678,1042.452637,573.875061,2.157494,2.284965,-0.019480,49.329243,-1161.775391,302.113495,,,,,,
