Trajectories
30
,,1 8,,,1 9,,,1 10,,,1 11,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,1054.943481,862.223267,577.110229,-4116.626953,-7116.065918,829.093323,-4385.026855,-7628.838867,893.960449,,,
2,0,1054.959595,862.344849,577.134827,-4116.851562,-7116.099609,828.925903,-4384.534668,-7628.791016,894.101440,-4298.079102,-7421.271484,895.337097
3,0,1054.990112,862.400269,577.161682,-4116.880859,-7116.097168,828.957397,-4384.542480,-7628.803711,894.079834,-4297.787598,-7421.261719,895.454895
4,0,1055.023560,862.414856,577.152588,-4116.971191,-7116.088379,828.929382,-4384.328613,-7628.744629,894.158691,-4297.744629,-7421.244629,895.482361
5,0,1055.034302,862.504150,577.106384,-4116.535645,-7116.099121,829.121338,-4384.525391,-7628.771973,894.045227,-4297.432617,-7421.165527,895.092468
6,0,1055.047241,862.602539,577.134460,-4116.709473,-7116.069824,829.054504,-4384.565430,-7628.773438,894.102539,-4297.541992,-7421.223633,895.531250
7,0,1055.049438,862.663391,577.107727,-4116.885254,-7116.112793,829.004333,-4384.800293,-7628.844727,894.110962,-4297.225098,-7421.157227,895.151367
8,0,1055.042603,862.725952,577.106873,-4116.839355,-7116.076660,829.018127,-4384.367676,-7628.755371,894.063110,-4297.510254,-7421.215820,895.422180
9,0,1055.049805,862.779968,577.113281,-4116.991699,-7116.115723,828.976257,-4384.514160,-7628.759766,894.140259,-4297.861816,-7421.221680,895.338013
10,0,1055.031860,862.782959,577.103271,-4116.666992,-7116.085938,829.032166,-4384.157227,-7628.791992,894.166077,-4297.683594,-7421.232422,895.273193
11,0,1055.020508,862.797729,577.102173,-4117.058105,-7116.095703,828.957764,-4384.577637,-7628.809570,893.969666,-4297.857910,-7421.234375,895.361084
12,0,1055.055542,862.804443,577.082031,-4116.760742,-7116.089844,829.028198,-4384.339355,-7628.757812,894.032532,-4297.847656,-7421.248535,895.322021
13,0,1054.979004,862.921753,577.095337,-4116.887695,-7116.100098,829.058289,-4384.883301,-7628.839355,894.162048,-4297.342773,-7421.214844,895.117859
14,0,1054.971436,862.801941,577.085388,-4117.007324,-7116.109375,829.051880,-4384.436523,-7628.733887,893.912659,-4298.110840,-7421.259766,895.182434
15,0,1054.933716,862.852478,577.085327,-4116.930176,-7116.094727,829.028503,-4385.492676,-7628.873047,893.855713,-4297.698730,-7421.248535,895.288391
16,0,1054.889526,862.841614,577.097412,-4116.830078,-7116.119141,829.081177,-4384.218262,-7628.707520,894.140625,-4297.507812,-7421.226074,895.317322
17,0,1054.869995,862.797791,577.103760,-4116.546387,-7116.065430,829.064331,-4384.469727,-7628.782227,893.977905,-4297.821289,-7421.214355,895.266296
18,0,1054.826416,862.738098,577.088135,-4117.116211,-7116.115723,828.981384,-4384.887207,-7628.826172,894.149231,-4297.709961,-7421.286621,895.285767
19,0,1054.774902,862.731262,577.073608,-4116.754395,-7116.074219,828.978394,-4384.239746,-7628.759277,894.152832,-4298.021484,-7421.255371,895.214233
20,0,1054.734375,862.637451,577.095886,-4116.868652,-7116.095703,829.095886,-4384.287598,-7628.782227,894.149414,-4298.469238,-7421.297852,895.174194
21,0,1054.663818,862.531494,577.050659,-4116.686523,-7116.093262,829.072754,-4384.049805,-7628.770508,894.243958,-4297.575684,-7421.214355,895.218201
22,0,1054.848511,862.161987,576.758728,-4116.919922,-7116.092773,829.127136,-4385.209473,-7628.872559,894.083618,-4298.185547,-7421.260742,895.165955
23,0,1054.745972,862.084473,576.699585,-4116.643555,-7116.058594,829.059875,-4384.471191,-7628.762695,894.066162,-4297.565430,-7421.193359,895.291687
24,0,1054.689453,862.108276,576.727539,-4117.012695,-7116.105957,829.031067,-4383.990723,-7628.745605,894.327209,-4297.994141,-7421.221191,895.308228
25,0,1054.640991,861.992310,576.742249,-4116.700195,-7116.091309,829.054810,-4384.974121,-7628.838379,894.079529,-4297.226074,-7421.180664,895.582764
26,0,1054.607544,861.942383,576.819946,-4116.790527,-7116.115234,829.046875,-4384.604980,-7628.772461,893.887939,-4297.947754,-7421.255859,895.296143
27,0,1054.332520,862.239868,577.074585,-4116.991699,-7116.093750,828.999817,-4384.784668,-7628.823242,893.960510,-4297.804688,-7421.252930,895.305542
28,0,1054.214600,862.228210,577.114929,-4117.062500,-7116.098145,829.026428,-4385.008789,-7628.806152,894.054932,-4297.881836,-7421.243164,895.493835
29,0,1054.211060,862.060791,577.123291,-4116.635254,-7116.054688,829.008850,-4384.655762,-7628.800781,894.193359,-4297.751953,-7421.235840,895.480103
30,0,1054.241333,862.275940,577.583557,-4116.865723,-7116.091797,829.051086,-4384.305664,-7628.770508,894.116577,-4297.431152,-7421.167480,895.081909
31,0,1054.136963,861.952454,577.201538,-4116.875977,-7116.109863,829.050842,-4384.310547,-7628.782227,894.130737,-4297.833496,-7421.220215,895.268311
32,0,1054.083496,861.892334,577.210632,-4116.952637,-7116.088867,829.041138,-4384.618652,-7628.768066,893.940796,-4297.789062,-7421.237305,895.262390
33,0,1054.059326,861.858521,577.217102,-4116.577148,-7116.061523,829.078918,-4384.384277,-7628.776855,894.034607,-4297.337891,-7421.168457,895.101990
34,0,1053.988159,861.847412,577.244568,-4117.034668,-7116.103516,829.026001,-4384.621094,-7628.826172,894.137512,-4297.744629,-7421.227051,895.284180
35,0,1053.967773,861.795776,577.218506,-4116.899902,-7116.070801,829.038879,-4384.635254,-7628.792969,893.902283,-4297.723145,-7421.183594,895.290405
36,0,1054.012695,861.665039,577.199951,-4117.038086,-7116.120605,828.961060,-4383.942383,-7628.721680,894.411133,-4297.415039,-7421.226074,895.319397
37,0,1053.925903,861.597168,577.148743,-4116.792480,-7116.087891,829.089844,-4384.643555,-7628.775391,894.177124,-4298.090332,-7421.221680,895.157898
38,0,1053.922607,861.504822,577.149475,-4116.615723,-7116.108398,829.071106,-4384.587891,-7628.785156,894.127136,-4297.950195,-7421.226562,895.246643
39,0,1053.915894,861.464172,577.146729,-4116.708984,-7116.044434,829.029419,-4383.810547,-7628.762695,894.386292,-4298.220703,-7421.269043,895.151489
40,0,1053.907959,861.388855,577.159912,-4116.852539,-7116.109375,829.050476,-4385.218750,-7628.866211,893.958313,-4297.516602,-7421.195312,895.506104
41,0,1053.946045,861.425476,577.207336,-4116.901855,-7116.142090,829.033386,-4384.796387,-7628.780273,894.134155,-4297.475586,-7421.212402,895.447571
42,0,1053.923828,861.413330,577.123779,-4116.665527,-7116.146973,829.104736,-4384.229004,-7628.724609,894.126343,-4297.802246,-7421.241211,895.276428
43,0,1053.915039,861.384216,577.070190,-4116.863770,-7116.086914,829.016174,-4385.217285,-7628.899414,894.079285,-4297.411621,-7421.215820,895.065735
44,0,1053.966431,861.276001,577.114441,-4116.713379,-7116.098633,829.090637,-4384.298340,-7628.730469,894.086243,-4298.076172,-7421.263184,895.117493
45,0,1054.024048,861.272522,577.158569,-4116.897461,-7116.088867,829.050110,-4385.080566,-7628.838867,894.095764,-4297.707031,-7421.214355,895.283875
46,0,1054.065308,861.128906,577.175049,-4116.914551,-7116.076172,829.026733,-4384.156250,-7628.715332,894.178223,-4297.997559,-7421.213867,895.190125
47,0,1054.098877,861.325012,577.154053,-4116.731445,-7116.096680,829.044861,-4384.613281,-7628.794434,893.909180,-4298.062500,-7421.271484,895.194885
48,0,1054.155396,861.222107,577.208862,-4116.992188,-7116.096680,829.038086,-4384.062012,-7628.765137,894.187134,-4298.221191,-7421.268066,895.192322
49,0,1054.213745,861.165283,577.222107,-4116.852539,-7116.087402,829.016052,-4384.631836,-7628.791016,894.272461,-4298.179688,-7421.252441,895.213379
50,0,1054.287354,861.212097,577.212952,-4116.650391,-7116.061035,829.056335,-4384.251465,-7628.769531,894.163513,-4298.111816,-7421.247559,895.191467
51,0,1054.282471,861.122742,577.135620,-4116.969238,-7116.104492,829.048889,-4385.010254,-7628.833496,894.135193,-4297.741211,-7421.215820,895.267273
52,0,1054.359741,861.230530,577.220215,-4116.767090,-7116.087891,829.038696,-4384.351074,-7628.751465,894.069336,-4297.813965,-7421.253418,895.375793
53,0,1054.392090,861.313538,577.202332,-4116.794922,-7116.099609,829.094482,-4384.607422,-7628.778809,894.128479,-4297.606934,-7421.238281,895.414795
54,0,1054.447510,861.203003,577.158081,-4116.645020,-7116.062012,829.078491,-4384.201172,-7628.726562,894.189758,-4297.959473,-7421.250488,895.295837
55,0,1054.459351,861.248108,577.209717,-4116.617676,-7116.114746,829.069275,-4384.642090,-7628.815918,894.202576,-4297.494629,-7421.220703,895.456970
56,0,1054.547852,861.319824,577.232971,-4116.927246,-7116.122559,829.105652,-4384.984863,-7628.811035,894.155090,-4298.773438,-7421.336914,895.210327
57,0,1054.615356,861.353149,577.188904,-4116.750000,-7116.088379,829.076294,-4384.359863,-7628.760254,894.040894,-4298.708008,-7421.320801,895.298340
58,0,1054.645874,861.402344,577.193054,-4116.634766,-7116.074219,829.083313,-4385.109863,-7628.822266,894.066772,-4297.432617,-7421.145508,895.053894
59,0,1054.687256,861.460632,577.232727,-4116.818359,-7116.128418,829.035767,-4384.353027,-7628.766113,894.068726,-4297.788574,-7421.231934,895.241272
60,0,1054.722168,861.497375,577.178162,-4116.877930,-7116.091797,829.116638,-4384.609863,-7628.788086,894.150879,-4297.890137,-7421.220215,895.170044
61,0,1054.732544,861.593323,577.172913,-4116.844727,-7116.120605,829.098816,-4384.362793,-7628.783691,894.030396,-4297.338867,-7421.168457,895.106384
62,0,1054.755249,861.611145,577.162415,-4116.900879,-7116.097168,828.995789,-4383.851074,-7628.712891,894.408386,-4297.490234,-7421.165527,895.064148
63,0,1054.805176,861.718262,577.227295,-4116.588867,-7116.067871,829.138550,-4384.156250,-7628.773438,894.197449,-4297.513672,-7421.210938,895.322876
64,0,1054.818237,861.810242,577.215454,-4116.527344,-7116.115234,829.069885,-4384.116699,-7628.733887,894.231323,-4297.777832,-7421.231445,895.244202
65,0,1054.849487,861.840576,577.215515,-4116.876465,-7116.106445,829.088318,-4384.485840,-7628.767578,893.986572,-4297.620117,-7421.191406,895.309570
66,0,1054.870361,861.920471,577.212219,-4116.934570,-7116.100586,829.053223,-4385.162109,-7628.885742,894.068848,-4297.339355,-7421.206543,895.396851
67,0,1054.884277,861.940063,577.176208,-4116.607910,-7116.082520,829.095642,-4384.999512,-7628.837402,894.117493,-4298.349121,-7421.265625,895.154663
68,0,1054.892822,861.974121,577.178284,-4116.679688,-7116.096680,829.100464,-4384.143555,-7628.778320,894.168945,-4297.592773,-7421.229492,895.335266
69,0,1054.912598,862.145691,577.196350,-4116.960938,-7116.106934,829.051392,-4384.580566,-7628.809570,894.080750,-4297.579590,-7421.208496,895.407349
70,0,1054.943970,862.115295,577.170044,-4116.844727,-7116.082520,829.054016,-4385.320801,-7628.845703,893.997131,-4297.484863,-7421.198242,895.462341
71,0,1054.903931,862.158203,577.119629,-4116.716309,-7116.089355,829.083740,-4384.747559,-7628.817383,894.165710,-4297.951660,-7421.225586,895.328796
72,0,1054.920288,862.246216,577.140991,-4116.935547,-7116.083984,828.979431,-4384.375000,-7628.774414,894.048645,-4297.431641,-7421.191406,895.063965
73,0,1054.931030,862.278625,577.139160,-4117.017578,-7116.100586,828.959473,-4384.402344,-7628.793457,894.075684,-4297.834961,-7421.216797,895.210388
74,0,1054.920166,862.337646,577.109863,-4116.712402,-7116.098145,829.059998,-4383.871094,-7628.734863,894.372925,-4297.724609,-7421.216309,895.300232
75,0,1054.900146,862.360901,577.134888,-4116.848145,-7116.080078,829.019104,-4384.600586,-7628.763184,894.179016,-4297.814941,-7421.201660,895.220581
76,0,1054.918213,862.382751,577.105225,-4116.940430,-7116.089355,829.048706,-4384.681152,-7628.810547,894.138550,-4297.646484,-7421.230469,895.396851
77,0,1054.898438,862.481140,577.101562,-4116.746582,-7116.087402,829.001099,-4384.625000,-7628.769531,894.246399,-4297.837891,-7421.231445,895.213074
78,0,1054.915405,862.511414,577.091309,-4116.885742,-7116.108887,829.026306,-4384.229492,-7628.773438,894.149658,-4297.635254,-7421.190918,895.392822
79,0,1054.856201,862.615051,577.108337,-4116.799316,-7116.079102,829.058350,-4384.804688,-7628.766113,894.149048,-4297.981445,-7421.237305,895.281799
80,0,1054.877075,862.626709,577.057373,-4116.937500,-7116.079102,829.048462,-4384.050293,-7628.729980,894.245605,-4298.083984,-7421.247070,895.191406
81,0,1054.849365,862.680542,577.090271,-4116.938965,-7116.113281,829.042542,-4384.812500,-7628.806641,894.092285,-4297.500977,-7421.176758,895.063171
82,0,1054.813354,862.698914,577.094910,-4116.947754,-7116.110352,829.070190,-4384.612305,-7628.745117,893.938110,-4297.347168,-7421.168457,895.414551
83,0,1054.815552,862.711548,577.085999,-4116.905273,-7116.109863,829.112366,-4384.383789,-7628.756836,894.018005,-4297.239746,-7421.200195,895.400330
84,0,1054.809326,862.675415,577.079834,-4116.816895,-7116.082520,829.080505,-4384.919922,-7628.884277,894.117126,-4297.782715,-7421.208008,895.245300
85,0,1054.789185,862.785889,577.093140,-4116.667969,-7116.076660,829.026855,-4384.292480,-7628.756836,894.148254,-4297.919922,-7421.254883,895.281677
86,0,1054.764648,862.771912,577.086975,-4116.824707,-7116.104004,829.080200,-4384.289062,-7628.745605,894.077698,-4297.956055,-7421.244141,895.170471
87,0,1054.728271,862.787048,577.166565,-4116.761230,-7116.099121,829.024780,-4384.734863,-7628.839355,894.202454,-4297.482910,-7421.207520,895.379395
88,0,1054.685059,862.804321,577.136169,-4116.708984,-7116.076172,829.058716,-4384.834473,-7628.790527,894.164368,-4298.706055,-7421.318359,895.103638
89,0,1054.685913,862.769287,577.080933,-4116.814941,-7116.082031,829.026062,-4384.854004,-7628.810547,894.119019,-4298.316406,-7421.281250,895.212708
90,0,1054.630615,862.757263,577.110596,-4116.621582,-7116.091309,829.074890,-4384.995117,-7628.848633,894.158325,-4297.465332,-7421.229492,895.509094
