Objects
30
,,Global Angle Crazyflie_01:Crazyflie_01,,,,,,Global Angle LowerTriangle:LowerTriangle,,,,,,Global Angle MXS:MXS,,,,,,Global Angle clover13:clover13,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,,,,,,,,,,,,,2.343969,2.627238,-2.264961,1039.854492,1110.743652,616.724304,,,,,,
2,0,,,,,,,,,,,,,2.344112,2.627408,-2.264765,1039.860718,1110.616943,616.693848,,,,,,
3,0,,,,,,,,,,,,,2.343692,2.627375,-2.264885,1039.933838,1110.371582,616.687622,,,,,,
4,0,,,,,,,,,,,,,2.343533,2.627370,-2.264972,1040.001709,1110.119019,616.725952,,,,,,
5,0,,,,,,,,,,,,,2.343670,2.627226,-2.264755,1039.960327,1109.986938,616.618835,,,,,,
6,0,,,,,,,,,,,,,2.339208,2.628703,-2.262145,1041.047974,1109.541260,616.680969,,,,,,
7,0,,,,,,,,,,,,,2.338885,2.628864,-2.262017,1041.136475,1109.275513,616.695557,,,,,,
8,0,,,,,,,,,,,,,2.336952,2.629076,-2.261406,1041.516357,1108.959839,616.666016,,,,,,
9,0,,,,,,,,,,,,,2.335842,2.629505,-2.260628,1041.767944,1108.628174,616.636780,,,,,,
10,0,,,,,,,,,,,,,2.336705,2.629107,-2.261363,1041.596680,1108.273804,616.631592,,,,,,
11,0,,,,,,,,,,,,,2.339037,2.628781,-2.262166,1041.149414,1107.933350,616.569885,,,,,,
12,0,,,,,,,,,,,,,2.341027,2.628409,-2.262924,1040.857666,1107.557739,616.615479,,,,,,
13,0,,,,,,,,,,,,,2.337291,2.628716,-2.261665,1041.570190,1107.291504,616.631714,,,,,,
14,0,,,,,,,,,,,,,2.337734,2.628645,-2.261955,1041.537964,1106.924072,616.663391,,,,,,
15,0,,,,,,,,,,,,,2.343781,2.627419,-2.264960,1040.345337,1106.432861,616.636047,,,,,,
16,0,,,,,,,,,,,,,2.343546,2.627512,-2.264906,1040.424438,1106.056396,616.643372,,,,,,
17,0,,,,,,,,,,,,,2.343686,2.627609,-2.264757,1040.421631,1105.741699,616.557312,,,,,,
18,0,,,,,,,,,,,,,2.343400,2.627492,-2.264959,1040.483154,1105.383789,616.564270,,,,,,
19,0,,,,,,,,,,,,,2.343573,2.627500,-2.264893,1040.503296,1105.052124,616.558899,,,,,,
20,0,,,,,,,,,,,,,2.343030,2.627449,-2.265091,1040.573120,1104.755859,616.563782,,,,,,
21,0,,,,,,,,,,,,,2.342954,2.627377,-2.265059,1040.616333,1104.432251,616.538513,,,,,,
22,0,,,,,,,,,,,,,2.343381,2.626925,-2.265162,1040.603516,1104.218628,616.568420,,,,,,
23,0,,,,,,,,,,,,,2.338184,2.628666,-2.261868,1041.863403,1103.780884,616.592407,,,,,,
24,0,,,,,,,,,,,,,2.338416,2.628715,-2.261901,1041.873413,1103.521362,616.625122,,,,,,
25,0,,,,,,,,,,,,,2.338408,2.628745,-2.261897,1041.886108,1103.309814,616.627258,,,,,,
26,0,,,,,,,,,,,,,2.343122,2.627295,-2.264979,1040.764893,1103.186157,616.542786,,,,,,
27,0,,,,,,,,,,,,,2.343579,2.627250,-2.264955,1040.765503,1103.042847,616.573547,,,,,,
28,0,,,,,,,,,,,,,2.343524,2.627380,-2.264918,1040.768921,1102.877686,616.594177,,,,,,
29,0,,,,,,,,,,,,,2.343671,2.627158,-2.264917,1040.776123,1102.744507,616.564697,,,,,,
30,0,,,,,,,,,,,,,2.343781,2.627068,-2.264938,1040.785400,1102.682617,616.564575,,,,,,
31,0,,,,,,,,,,,,,2.343790,2.627069,-2.264959,1040.752930,1102.647461,616.555542,,,,,,
32,0,,,,,,,,,,,,,2.343805,2.627203,-2.264840,1040.775024,1102.658081,616.567810,,,,,,
33,0,,,,,,,,,,,,,2.343921,2.627142,-2.264905,1040.749878,1102.658447,616.587036,,,,,,
34,0,,,,,,,,,,,,,2.343916,2.627021,-2.264974,1040.743286,1102.710083,616.567139,,,,,,
35,0,,,,,,,,,,,,,2.343803,2.627120,-2.264865,1040.738281,1102.806030,616.553894,,,,,,
36,0,,,,,,,,,,,,,2.343759,2.627078,-2.264860,1040.724121,1102.917969,616.554138,,,,,,
37,0,,,,,,,,,,,,,2.343825,2.627076,-2.264917,1040.682007,1103.074707,616.547302,,,,,,
38,0,,,,,,,,,,,,,2.343897,2.627245,-2.264892,1040.653442,1103.247314,616.587830,,,,,,
39,0,,,,,,,,,,,,,2.338883,2.628530,-2.261912,1041.742188,1103.398193,616.573425,,,,,,
40,0,,,,,,,,,,,,,2.338962,2.628554,-2.261797,1041.764771,1103.602173,616.621582,,,,,,
41,0,,,,,,,,,,,,,2.343769,2.627203,-2.264873,1040.565063,1103.977905,616.532532,,,,,,
42,0,,,,,,,,,,,,,2.343731,2.627182,-2.264907,1040.538452,1104.229370,616.558044,,,,,,
43,0,,,,,,,,,,,,,2.343738,2.626949,-2.264831,1040.450684,1104.620972,616.522095,,,,,,
44,0,,,,,,,,,,,,,2.344729,2.627846,-2.264481,1040.425781,1105.033081,616.651367,,,,,,
45,0,,,,,,,,,,,,,2.343495,2.627343,-2.264822,1040.385864,1105.170166,616.535950,,,,,,
46,0,,,,,,,,,,,,,2.344039,2.627506,-2.264612,1040.314819,1105.522949,616.543701,,,,,,
47,0,,,,,,,,,,,,,2.343590,2.627293,-2.264918,1040.305908,1105.880859,616.584045,,,,,,
48,0,,,,,,,,,,,,,2.344097,2.627197,-2.264953,1040.251221,1106.154663,616.688354,,,,,,
49,0,,,,,,,,,,,,,2.344462,2.627465,-2.264639,1040.142334,1106.599243,616.594299,,,,,,
50,0,,,,,,,,,,,,,2.340314,2.628425,-2.262355,1041.042725,1106.827637,616.690125,,,,,,
51,0,,,,,,,,,,,,,2.337982,2.628766,-2.261658,1041.374756,1107.318359,616.634644,,,,,,
52,0,,,,,,,,,,,,,2.337629,2.628843,-2.261756,1041.318237,1107.713257,616.605530,,,,,,
53,0,,,,,,,,,,,,,2.337500,2.628852,-2.261683,1041.330444,1108.026489,616.633484,,,,,,
54,0,,,,,,,,,,,,,2.336999,2.629030,-2.261432,1041.378418,1108.364990,616.619568,,,,,,
