Objects
30
,,Global Angle Crazyflie_01:Crazyflie_01,,,,,,Global Angle LowerTriangle:LowerTriangle,,,,,,Global Angle MXS:MXS,,,,,,Global Angle clover13:clover13,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,,,,,,,-0.002662,0.002018,0.039346,1025.215088,1040.859375,570.216125,-1.183286,-1.224589,1.095282,1031.246826,1107.056885,617.113098,,,,,,
2,0,,,,,,,-0.002725,0.001340,0.031749,1025.557983,1042.081665,570.078064,-1.186993,-1.219701,1.090283,1032.378174,1107.664307,617.089111,,,,,,
3,0,,,,,,,-0.003272,0.001557,0.024360,1026.206909,1042.925293,570.044067,-1.190604,-1.213532,1.083978,1033.526733,1108.736328,617.139282,,,,,,
4,0,,,,,,,-0.001372,0.001690,0.016120,1027.209839,1043.624512,570.357361,-1.194748,-1.207681,1.078486,1034.708130,1109.324219,617.049622,,,,,,
5,0,,,,,,,-0.001037,0.001760,0.008364,1027.761475,1044.700439,570.353027,-1.198456,-1.202385,1.073142,1036.046509,1110.196777,617.009766,,,,,,
6,0,,,,,,,-0.001345,0.002325,0.000085,1028.762451,1045.470703,570.360840,-1.202189,-1.197843,1.067660,1037.750610,1111.117920,616.999939,,,,,,
7,0,,,,,,,-0.001376,0.002093,-0.007767,1029.508423,1046.149414,570.313110,-1.197959,-1.185231,1.064154,1033.984375,1112.780640,617.174805,,,,,,
8,0,,,,,,,-0.001093,0.002245,-0.015557,1030.479492,1046.823242,570.432617,-1.201781,-1.179568,1.057908,1035.645874,1113.641479,617.260254,,,,,,
9,0,,,,,,,-0.001897,0.002386,-0.022786,1031.406372,1047.578979,570.275513,-1.205266,-1.174288,1.052860,1037.043091,1114.402588,617.193726,,,,,,
10,0,,,,,,,-0.002313,0.002513,-0.029241,1032.275757,1048.259888,570.266235,-1.208677,-1.169716,1.047039,1038.733032,1115.149170,617.286865,,,,,,
11,0,,,,,,,-0.002621,0.002649,-0.035570,1033.280884,1049.070068,570.253662,-1.210987,-1.165000,1.043169,1039.822144,1115.702026,617.313232,,,,,,
12,0,,,,,,,-0.002035,0.001416,-0.041188,1033.980957,1049.585938,570.003479,-1.218731,-1.160973,1.034714,1043.731567,1116.003540,616.832764,,,,,,
13,0,,,,,,,-0.002411,0.001820,-0.045916,1034.988770,1050.107422,570.030518,-1.220961,-1.157532,1.031213,1045.048340,1116.374390,616.862976,,,,,,
14,0,,,,,,,-0.002517,0.001895,-0.049626,1035.900635,1050.575684,570.013428,-1.222610,-1.154614,1.028454,1046.249756,1116.788696,616.887817,,,,,,
15,0,,,,,,,-0.002823,0.001898,-0.052506,1036.956909,1050.923706,569.969666,-1.223842,-1.152349,1.026195,1047.438232,1117.156982,616.948975,,,,,,
16,0,,,,,,,-0.003016,0.001943,-0.054578,1037.815918,1051.183838,569.966858,-1.224644,-1.150809,1.024771,1048.501587,1117.494995,616.946533,,,,,,
17,0,,,,,,,-0.001624,0.001874,-0.055858,1038.827515,1051.672729,570.197998,-1.225111,-1.150007,1.023931,1049.507935,1117.781616,616.945496,,,,,,
18,0,,,,,,,-0.003146,0.002105,-0.055530,1039.574951,1051.623779,569.967712,-1.225201,-1.150203,1.023919,1050.379150,1117.897217,616.911133,,,,,,
19,0,,,,,,,-0.003265,0.001936,-0.054755,1040.433960,1051.698242,569.915833,-1.224707,-1.150901,1.024602,1051.165039,1117.959229,616.886597,,,,,,
20,0,,,,,,,-0.002244,0.002761,-0.052653,1041.473389,1051.763184,570.303833,-1.223657,-1.152218,1.026124,1051.757690,1117.986084,616.871521,,,,,,
21,0,,,,,,,-0.002026,0.002695,-0.049793,1042.086182,1051.743896,570.313293,-1.222360,-1.154405,1.028082,1052.329956,1117.963379,616.871643,,,,,,
22,0,,,,,,,-0.002082,0.002511,-0.046015,1042.840088,1051.500732,570.290649,-1.220620,-1.157271,1.030860,1052.734009,1117.909180,616.842590,,,,,,
23,0,,,,,,,-0.003276,0.002708,-0.041010,1043.403809,1051.124512,570.029419,-1.218544,-1.160702,1.034194,1053.020752,1117.768799,616.797485,,,,,,
