Objects
30
,,Global Angle Crazyflie_01:Crazyflie_01,,,,,,Global Angle LowerTriangle:LowerTriangle,,,,,,Global Angle MXS:MXS,,,,,,Global Angle clover13:clover13,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,,,,,,,,,,,,,1.110285,1.168015,-1.307094,1041.854858,1046.703613,601.431335,,,,,,
2,0,,,,,,,,,,,,,1.110347,1.167976,-1.307149,1041.942017,1046.748413,601.433105,,,,,,
3,0,,,,,,,,,,,,,1.110348,1.167970,-1.307106,1042.015137,1046.859741,601.451965,,,,,,
4,0,,,,,,,,,,,,,1.109996,1.167939,-1.307127,1042.126953,1047.032959,601.433960,,,,,,
5,0,,,,,,,,,,,,,1.110393,1.167823,-1.307222,1042.302856,1046.975708,601.501465,,,,,,
6,0,,,,,,,,,,,,,1.110230,1.168067,-1.306978,1042.490967,1047.107056,601.519775,,,,,,
7,0,,,,,,,,,,,,,1.110234,1.168949,-1.306091,1042.805420,1047.684570,601.341675,,,,,,
8,0,,,,,,,,,,,,,1.110556,1.167691,-1.307369,1042.821167,1047.235718,601.620911,,,,,,
9,0,,,,,,,,,,,,,1.110621,1.167549,-1.307232,1043.014526,1047.304199,601.653381,,,,,,
10,0,,,,,,,,,,,,,1.110558,1.167697,-1.307137,1043.245361,1047.379883,601.692993,,,,,,
11,0,,,,,,,,,,,,,1.110525,1.167664,-1.307052,1043.480469,1047.432129,601.728516,,,,,,
12,0,,,,,,,,,,,,,1.112044,1.169151,-1.308485,1043.685425,1046.688232,600.744629,,,,,,
13,0,,,,,,,,,,,,,1.112086,1.169074,-1.308648,1043.916748,1046.670532,600.702942,,,,,,
14,0,,,,,,,,,,,,,1.112130,1.168944,-1.308731,1044.168945,1046.646729,600.708923,,,,,,
15,0,,,,,,,,,,,,,1.112186,1.168972,-1.308628,1044.483154,1046.706543,600.710876,,,,,,
16,0,,,,,,,,,,,,,1.112133,1.169415,-1.309074,1044.586548,1046.576416,600.484619,,,,,,
17,0,,,,,,,,,,,,,1.112175,1.169536,-1.308124,1045.183960,1046.872559,600.586731,,,,,,
18,0,,,,,,,,,,,,,1.112740,1.168622,-1.308691,1045.456177,1046.600098,600.824219,,,,,,
