Objects
30
,,Global Angle Crazyflie_01:Crazyflie_01,,,,,,Global Angle LowerTriangle:LowerTriangle,,,,,,Global Angle MXS:MXS,,,,,,Global Angle clover13:clover13,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,,,,,,,,,,,,,1.124500,1.175975,-1.302965,1047.285767,1047.849243,599.466858,,,,,,
2,0,,,,,,,,,,,,,1.124228,1.175860,-1.302967,1047.514771,1048.017456,599.500549,,,,,,
3,0,,,,,,,,,,,,,1.124176,1.175968,-1.302991,1047.756348,1048.217285,599.546265,,,,,,
4,0,,,,,,,,,,,,,1.124238,1.175970,-1.303080,1047.935913,1048.380493,599.566284,,,,,,
5,0,,,,,,,,,,,,,1.124325,1.175961,-1.302993,1048.243164,1048.565918,599.529785,,,,,,
6,0,,,,,,,,,,,,,1.124178,1.175891,-1.303060,1048.378540,1048.747803,599.568420,,,,,,
7,0,,,,,,,,,,,,,1.124105,1.175883,-1.303009,1048.624634,1048.961914,599.610962,,,,,,
8,0,,,,,,,,,,,,,1.124423,1.175032,-1.303832,1048.697388,1048.910278,599.800720,,,,,,
9,0,,,,,,,,,,,,,1.124335,1.174964,-1.303822,1048.933350,1049.081543,599.827454,,,,,,
10,0,,,,,,,,,,,,,1.124582,1.174970,-1.303771,1049.157227,1049.377563,599.841309,,,,,,
11,0,,,,,,,,,,,,,1.124618,1.174764,-1.303929,1049.356689,1049.496948,599.946228,,,,,,
12,0,,,,,,,,,,,,,1.124655,1.175576,-1.302894,1049.648560,1050.121948,599.795044,,,,,,
13,0,,,,,,,,,,,,,1.124803,1.175580,-1.302838,1049.828247,1050.312134,599.814941,,,,,,
14,0,,,,,,,,,,,,,1.125137,1.174665,-1.303594,1049.878296,1050.125244,600.046326,,,,,,
15,0,,,,,,,,,,,,,1.125968,1.176190,-1.304989,1050.055420,1049.621460,599.132874,,,,,,
16,0,,,,,,,,,,,,,1.125961,1.176492,-1.304813,1050.213257,1049.832275,599.020691,,,,,,
17,0,,,,,,,,,,,,,1.126082,1.176681,-1.304829,1050.321045,1050.003052,598.971375,,,,,,
18,0,,,,,,,,,,,,,1.126295,1.176522,-1.305160,1050.402344,1049.994995,598.968384,,,,,,
19,0,,,,,,,,,,,,,1.125681,1.174702,-1.303574,1050.399170,1050.831299,600.133484,,,,,,
20,0,,,,,,,,,,,,,1.125874,1.174537,-1.303831,1050.457275,1050.743652,600.117371,,,,,,
21,0,,,,,,,,,,,,,1.125745,1.174924,-1.303626,1050.516724,1050.843018,600.056580,,,,,,
22,0,,,,,,,,,,,,,1.125864,1.174923,-1.303703,1050.539917,1050.856323,600.073120,,,,,,
23,0,,,,,,,,,,,,,1.126142,1.174736,-1.304173,1050.557007,1050.751465,600.049927,,,,,,
24,0,,,,,,,,,,,,,1.125995,1.174795,-1.303841,1050.580933,1050.818848,600.057922,,,,,,
25,0,,,,,,,,,,,,,1.125978,1.174705,-1.303802,1050.538330,1050.778687,600.084167,,,,,,
26,0,,,,,,,,,,,,,1.125854,1.174630,-1.303722,1050.491943,1050.744507,600.128845,,,,,,
27,0,,,,,,,,,,,,,1.125911,1.174373,-1.303993,1050.412231,1050.529175,600.134094,,,,,,
28,0,,,,,,,,,,,,,1.126394,1.176094,-1.305484,1050.427856,1049.665039,599.019531,,,,,,
29,0,,,,,,,,,,,,,1.126394,1.175963,-1.305453,1050.320679,1049.532959,599.070984,,,,,,
30,0,,,,,,,,,,,,,1.126301,1.175786,-1.305448,1050.220581,1049.354004,599.106689,,,,,,
31,0,,,,,,,,,,,,,1.125313,1.175238,-1.303388,1050.136230,1050.229370,599.868774,,,,,,
32,0,,,,,,,,,,,,,1.125208,1.175101,-1.303442,1050.006104,1050.021484,599.845398,,,,,,
33,0,,,,,,,,,,,,,1.125138,1.175191,-1.303362,1049.878784,1049.800415,599.791199,,,,,,
34,0,,,,,,,,,,,,,1.124933,1.175248,-1.303433,1049.692261,1049.569092,599.754944,,,,,,
35,0,,,,,,,,,,,,,1.124889,1.175080,-1.303711,1049.524536,1049.234131,599.776978,,,,,,
36,0,,,,,,,,,,,,,1.124507,1.174322,-1.304319,1049.228149,1048.784424,599.872620,,,,,,
37,0,,,,,,,,,,,,,1.124626,1.175430,-1.303399,1049.171387,1048.850342,599.692871,,,,,,
38,0,,,,,,,,,,,,,1.124473,1.175768,-1.303257,1048.957764,1048.627686,599.607910,,,,,,
39,0,,,,,,,,,,,,,1.124356,1.175883,-1.303130,1048.729614,1048.441406,599.577209,,,,,,
40,0,,,,,,,,,,,,,1.124346,1.175916,-1.303014,1048.519775,1048.302979,599.572266,,,,,,
41,0,,,,,,,,,,,,,1.124494,1.175949,-1.303105,1048.363892,1048.171387,599.538818,,,,,,
42,0,,,,,,,,,,,,,1.123982,1.176078,-1.302642,1048.109863,1047.959106,599.453918,,,,,,
43,0,,,,,,,,,,,,,1.124257,1.175969,-1.302804,1047.868042,1047.665894,599.442810,,,,,,
44,0,,,,,,,,,,,,,1.123574,1.175925,-1.302740,1047.644165,1047.627563,599.476074,,,,,,
45,0,,,,,,,,,,,,,1.124262,1.175337,-1.303469,1047.281006,1046.951050,599.636536,,,,,,
46,0,,,,,,,,,,,,,1.124429,1.175239,-1.303526,1047.074463,1046.639160,599.637085,,,,,,
47,0,,,,,,,,,,,,,1.124766,1.175651,-1.303343,1046.985718,1046.658936,599.516113,,,,,,
48,0,,,,,,,,,,,,,1.124522,1.174811,-1.304047,1046.613037,1046.056152,599.621277,,,,,,
49,0,,,,,,,,,,,,,1.124520,1.174825,-1.304078,1046.406982,1045.878052,599.592834,,,,,,
50,0,,,,,,,,,,,,,1.124554,1.174803,-1.304118,1046.277222,1045.691528,599.608948,,,,,,
51,0,,,,,,,,,,,,,1.124913,1.174641,-1.304396,1046.134155,1045.554199,599.619995,,,,,,
52,0,,,,,,,,,,,,,1.124769,1.175005,-1.304104,1045.976074,1045.533203,599.554688,,,,,,
53,0,,,,,,,,,,,,,1.124832,1.174878,-1.304303,1045.829834,1045.393799,599.581177,,,,,,
54,0,,,,,,,,,,,,,1.124910,1.174968,-1.304302,1045.720703,1045.370605,599.549805,,,,,,
55,0,,,,,,,,,,,,,1.125084,1.174888,-1.304457,1045.624023,1045.282593,599.526489,,,,,,
56,0,,,,,,,,,,,,,1.125013,1.174886,-1.304504,1045.562988,1045.220703,599.535767,,,,,,
57,0,,,,,,,,,,,,,1.125125,1.174883,-1.304524,1045.501953,1045.209351,599.516357,,,,,,
58,0,,,,,,,,,,,,,1.125200,1.174898,-1.304571,1045.449585,1045.223755,599.539124,,,,,,
59,0,,,,,,,,,,,,,1.125336,1.174773,-1.304701,1045.454590,1045.207520,599.524414,,,,,,
60,0,,,,,,,,,,,,,1.125660,1.174656,-1.304947,1045.490479,1045.277100,599.511047,,,,,,
61,0,,,,,,,,,,,,,1.126572,1.174008,-1.306054,1045.494019,1045.309326,599.538818,,,,,,
62,0,,,,,,,,,,,,,1.127741,1.173492,-1.307113,1045.714478,1045.466675,599.450989,,,,,,
63,0,,,,,,,,,,,,,1.130550,1.171234,-1.310740,1045.436523,1045.274048,599.677063,,,,,,
64,0,,,,,,,,,,,,,1.133152,1.169850,-1.313504,1045.368286,1045.287109,599.618591,,,,,,
65,0,,,,,,,,,,,,,1.136988,1.166186,-1.318130,1045.192627,1045.171021,599.732727,,,,,,
66,0,,,,,,,,,,,,,1.140155,1.164825,-1.321267,1045.182617,1045.014648,599.591064,,,,,,
67,0,,,,,,,,,,,,,1.144732,1.162958,-1.325312,1045.275269,1044.636108,599.650818,,,,,,
68,0,,,,,,,,,,,,,1.150004,1.154512,-1.333407,1045.309326,1042.048950,600.910767,,,,,,
69,0,,,,,,,,,,,,,1.154324,1.154937,-1.336047,1045.500244,1042.338013,600.315063,,,,,,
70,0,,,,,,,,,,,,,1.157181,1.156606,-1.337715,1045.524902,1043.351196,599.674683,,,,,,
71,0,,,,,,,,,,,,,1.161795,1.153970,-1.342350,1045.392334,1043.060669,599.881348,,,,,,
72,0,,,,,,,,,,,,,1.168055,1.150162,-1.348113,1045.106812,1042.835205,600.080505,,,,,,
73,0,,,,,,,,,,,,,1.169773,1.147586,-1.350604,1045.174561,1042.371094,600.304932,,,,,,
74,0,,,,,,,,,,,,,1.174198,1.146451,-1.354618,1045.319702,1041.734497,600.097107,,,,,,
75,0,,,,,,,,,,,,,1.180335,1.143936,-1.362865,1044.924438,1040.256226,599.067871,,,,,,
76,0,,,,,,,,,,,,,1.185552,1.139373,-1.368689,1044.355103,1039.590576,599.448181,,,,,,
77,0,,,,,,,,,,,,,1.186502,1.139310,-1.368813,1044.630615,1039.655518,599.317688,,,,,,
78,0,,,,,,,,,,,,,1.187302,1.138668,-1.369553,1044.539917,1039.340454,599.380249,,,,,,
79,0,,,,,,,,,,,,,1.186683,1.139184,-1.368680,1044.355225,1039.158447,599.467468,,,,,,
80,0,,,,,,,,,,,,,1.182435,1.142339,-1.364288,1044.637329,1038.913818,599.261353,,,,,,
81,0,,,,,,,,,,,,,1.177664,1.145789,-1.358759,1044.778809,1038.701294,599.125183,,,,,,
82,0,,,,,,,,,,,,,1.171597,1.147835,-1.352810,1044.355347,1039.263184,599.778931,,,,,,
83,0,,,,,,,,,,,,,1.162924,1.153404,-1.343672,1044.825928,1039.217529,599.512207,,,,,,
84,0,,,,,,,,,,,,,1.155525,1.157552,-1.335456,1044.821411,1039.133667,599.493347,,,,,,
85,0,,,,,,,,,,,,,1.148210,1.161586,-1.328024,1044.731201,1038.953735,599.629761,,,,,,
86,0,,,,,,,,,,,,,1.136439,1.169483,-1.315798,1045.135620,1039.217773,599.327820,,,,,,
87,0,,,,,,,,,,,,,1.127441,1.174253,-1.306701,1045.065063,1039.081543,599.486206,,,,,,
88,0,,,,,,,,,,,,,1.117301,1.181857,-1.294168,1045.857178,1040.286011,599.258728,,,,,,
89,0,,,,,,,,,,,,,1.108227,1.185540,-1.286152,1045.629028,1039.663818,599.427917,,,,,,
90,0,,,,,,,,,,,,,1.098807,1.191831,-1.275140,1046.148071,1040.366699,599.386414,,,,,,
91,0,,,,,,,,,,,,,1.090566,1.196666,-1.266047,1046.406616,1040.874756,599.360596,,,,,,
92,0,,,,,,,,,,,,,1.083245,1.200926,-1.258281,1046.632935,1041.329956,599.476013,,,,,,
93,0,,,,,,,,,,,,,1.077455,1.204591,-1.252011,1046.960815,1041.971436,599.477966,,,,,,
94,0,,,,,,,,,,,,,1.071679,1.206316,-1.247105,1046.870239,1042.865723,599.627014,,,,,,
95,0,,,,,,,,,,,,,1.067426,1.207186,-1.243588,1047.264526,1043.580078,599.754150,,,,,,
96,0,,,,,,,,,,,,,1.066115,1.208259,-1.242109,1047.383179,1044.284668,599.673462,,,,,,
97,0,,,,,,,,,,,,,1.067192,1.208487,-1.242179,1047.662109,1044.933350,599.759644,,,,,,
98,0,,,,,,,,,,,,,1.069050,1.206866,-1.244077,1048.020020,1045.529175,599.854919,,,,,,
99,0,,,,,,,,,,,,,1.072483,1.204966,-1.247891,1048.310425,1046.142700,599.773621,,,,,,
100,0,,,,,,,,,,,,,1.077856,1.202928,-1.252480,1048.706665,1047.388672,599.784790,,,,,,
101,0,,,,,,,,,,,,,1.083721,1.199336,-1.259469,1048.838257,1047.909180,599.582031,,,,,,
102,0,,,,,,,,,,,,,1.091375,1.195356,-1.267286,1049.129517,1048.710571,599.508301,,,,,,
103,0,,,,,,,,,,,,,1.099698,1.190281,-1.276128,1049.453979,1049.318970,599.585144,,,,,,
104,0,,,,,,,,,,,,,1.108497,1.185422,-1.284854,1049.628052,1050.296143,599.723328,,,,,,
105,0,,,,,,,,,,,,,1.118160,1.178874,-1.296714,1049.402954,1050.260254,599.646667,,,,,,
106,0,,,,,,,,,,,,,1.128755,1.174836,-1.307558,1049.556641,1050.411377,599.049255,,,,,,
107,0,,,,,,,,,,,,,1.138052,1.169091,-1.317479,1049.896240,1051.087891,599.080444,,,,,,
108,0,,,,,,,,,,,,,1.145766,1.164924,-1.325855,1050.472290,1051.721191,598.815674,,,,,,
109,0,,,,,,,,,,,,,1.156769,1.158261,-1.337390,1050.146606,1052.502563,599.152283,,,,,,
110,0,,,,,,,,,,,,,1.162409,1.154975,-1.343664,1050.410767,1053.179688,599.074219,,,,,,
