Objects
30
,,Global Angle Crazyflie_01:Crazyflie_01,,,,,,Global Angle LowerTriangle:LowerTriangle,,,,,,Global Angle MXS:MXS,,,,,,Global Angle clover13:clover13,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,,,,,,,0.003111,0.002201,0.001481,1036.058472,1042.013794,567.873291,2.060425,2.125829,0.239781,48.990719,-1206.311279,302.022675,,,,,,
2,0,,,,,,,0.003130,0.002197,0.001397,1035.934448,1042.086914,567.880737,2.060387,2.125865,0.239759,48.966965,-1206.326904,302.012299,,,,,,
3,0,,,,,,,0.003027,0.002277,0.001404,1035.776978,1042.186646,567.914551,2.060264,2.125518,0.240009,48.928074,-1206.242920,301.884308,,,,,,
4,0,,,,,,,0.003132,0.002218,0.001477,1035.612427,1042.235352,567.865845,2.060265,2.125507,0.239958,48.913555,-1206.267578,301.876404,,,,,,
5,0,,,,,,,0.003176,0.002304,0.001662,1035.441284,1042.306763,567.891907,2.060262,2.125498,0.239989,48.931255,-1206.248291,301.883667,,,,,,
6,0,,,,,,,0.003199,0.002229,0.001988,1035.258057,1042.407837,567.890808,2.060434,2.125885,0.239762,48.967167,-1206.312866,302.007721,,,,,,
7,0,,,,,,,0.002878,0.002232,0.002479,1034.973877,1042.619751,567.869202,2.060260,2.125515,0.240024,48.932381,-1206.241699,301.887482,,,,,,
8,0,,,,,,,0.003180,0.002043,0.002841,1034.895508,1042.523071,567.889221,2.060447,2.125849,0.239738,48.968655,-1206.307251,302.004395,,,,,,
9,0,,,,,,,0.003162,0.002116,0.003248,1034.703247,1042.540283,567.911682,2.060428,2.125847,0.239749,48.974571,-1206.326904,302.012451,,,,,,
10,0,,,,,,,0.003044,0.002066,0.003845,1034.470581,1042.650024,567.918335,2.060428,2.125856,0.239743,48.960953,-1206.324951,302.005432,,,,,,
11,0,,,,,,,0.003287,0.002136,0.004229,1034.235596,1042.647217,567.870667,2.060452,2.125860,0.239751,48.968094,-1206.332886,302.022186,,,,,,
12,0,,,,,,,0.002993,0.002651,0.004655,1034.043091,1042.851685,568.030090,2.060434,2.125878,0.239771,48.973854,-1206.306641,302.019684,,,,,,
13,0,,,,,,,0.002963,0.002169,0.005637,1033.671509,1042.947998,567.886292,2.060285,2.125501,0.240038,48.951790,-1206.244995,301.890442,,,,,,
14,0,,,,,,,0.002885,0.002351,0.006306,1033.472046,1042.922485,567.919128,2.060412,2.125871,0.239740,48.965290,-1206.308472,302.001740,,,,,,
15,0,,,,,,,0.002761,0.002362,0.006812,1033.221558,1042.956909,567.925781,2.060446,2.125843,0.239779,48.978172,-1206.321533,302.035309,,,,,,
16,0,,,,,,,0.002877,0.002275,0.007307,1033.024658,1042.989136,567.896545,2.060420,2.125870,0.239755,48.972122,-1206.311157,302.017426,,,,,,
17,0,,,,,,,0.002770,0.002308,0.007877,1032.818481,1042.989746,567.934204,2.060464,2.125855,0.239793,48.979393,-1206.306763,302.025055,,,,,,
18,0,,,,,,,0.002809,0.002355,0.008315,1032.645630,1042.997192,567.946472,2.060381,2.125845,0.239718,48.963531,-1206.322510,301.998230,,,,,,
19,0,,,,,,,0.002871,0.002165,0.008751,1032.470093,1043.006226,567.915833,2.060399,2.125832,0.239747,48.959194,-1206.331299,301.999908,,,,,,
20,0,,,,,,,0.002911,0.002156,0.009105,1032.307495,1042.995605,567.920105,2.060453,2.125863,0.239780,48.967918,-1206.308594,302.020294,,,,,,
21,0,,,,,,,0.002865,0.002288,0.009285,1032.182495,1043.011597,567.957031,2.060457,2.125857,0.239757,48.962498,-1206.306274,302.008301,,,,,,
22,0,,,,,,,0.002932,0.002080,0.009479,1032.040405,1042.967041,567.917114,2.060435,2.125868,0.239753,48.972252,-1206.320435,302.016266,,,,,,
23,0,,,,,,,0.002918,0.002116,0.009520,1031.912231,1042.938232,567.936707,2.060445,2.125869,0.239769,48.956898,-1206.319580,302.014160,,,,,,
24,0,,,,,,,0.002955,0.002152,0.009507,1031.812012,1042.913818,567.922974,2.060439,2.125835,0.239778,48.963131,-1206.317871,302.008514,,,,,,
