Objects
30
,,Global Angle Crazyflie_01:Crazyflie_01,,,,,,Global Angle LowerTriangle:LowerTriangle,,,,,,Global Angle MXS:MXS,,,,,,Global Angle clover13:clover13,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,,,,,,,-0.001292,0.001363,0.007028,1035.007812,1044.135132,500.992645,2.616985,-1.702339,0.059414,962.210144,-1769.305908,150.663925,,,,,,
2,0,,,,,,,-0.001327,0.001428,0.007324,1035.050415,1044.119385,501.021454,2.616954,-1.702276,0.059421,962.216858,-1769.285522,150.654663,,,,,,
3,0,,,,,,,-0.001328,0.001253,0.007571,1035.088135,1044.125854,501.037964,2.617012,-1.702323,0.059443,962.227234,-1769.298828,150.662445,,,,,,
4,0,,,,,,,-0.001353,0.001168,0.007801,1035.105957,1044.136230,501.042236,2.616967,-1.702399,0.059447,962.239441,-1769.266846,150.670959,,,,,,
5,0,,,,,,,-0.001260,0.001296,0.007990,1035.149170,1044.130981,501.019226,2.616639,-1.701752,0.058293,961.942200,-1769.341919,150.443512,,,,,,
6,0,,,,,,,-0.000880,0.001193,0.007925,1035.255737,1044.120972,501.116333,2.616616,-1.701667,0.058211,961.931091,-1769.297485,150.412048,,,,,,
7,0,,,,,,,-0.000641,0.001210,0.008277,1035.211670,1044.196655,501.158051,2.616650,-1.701799,0.058302,961.966248,-1769.312744,150.440674,,,,,,
8,0,,,,,,,-0.000597,0.001163,0.008331,1035.223389,1044.213745,501.147797,2.616987,-1.702366,0.059468,962.230530,-1769.294312,150.655579,,,,,,
9,0,,,,,,,-0.000609,0.001175,0.008368,1035.240845,1044.219604,501.133728,2.616942,-1.702283,0.059377,962.200195,-1769.330933,150.658340,,,,,,
10,0,,,,,,,-0.000598,0.001212,0.008357,1035.265137,1044.228149,501.149658,2.616971,-1.702366,0.059454,962.206787,-1769.304932,150.654709,,,,,,
11,0,,,,,,,-0.000660,0.001127,0.008298,1035.303467,1044.240234,501.166473,2.616647,-1.701758,0.058285,961.953857,-1769.303833,150.433716,,,,,,
12,0,,,,,,,-0.000620,0.001190,0.008215,1035.302490,1044.269043,501.138733,2.616988,-1.702352,0.059381,962.210449,-1769.292114,150.654648,,,,,,
13,0,,,,,,,-0.000718,0.001043,0.008138,1035.320679,1044.291870,501.199188,2.616600,-1.701684,0.058196,961.935852,-1769.339600,150.402466,,,,,,
14,0,,,,,,,-0.000553,0.001350,0.007898,1035.334595,1044.298218,501.114502,2.616979,-1.702287,0.059417,962.219849,-1769.281128,150.654953,,,,,,
15,0,,,,,,,-0.000657,0.001232,0.007741,1035.335083,1044.330200,501.139832,2.616941,-1.702343,0.059420,962.208801,-1769.304077,150.644394,,,,,,
16,0,,,,,,,-0.001254,0.001369,0.007556,1035.336060,1044.302612,501.014832,2.617018,-1.702292,0.059371,962.222412,-1769.293335,150.642242,,,,,,
17,0,,,,,,,-0.001317,0.001329,0.007325,1035.326904,1044.339600,501.013153,2.616605,-1.701777,0.058259,961.931885,-1769.335571,150.430466,,,,,,
18,0,,,,,,,-0.001393,0.001301,0.007071,1035.342529,1044.354004,501.034149,2.616934,-1.702358,0.059371,962.211060,-1769.295166,150.648941,,,,,,
19,0,,,,,,,-0.001351,0.001315,0.006703,1035.336060,1044.386841,501.036591,2.616977,-1.702370,0.059410,962.208557,-1769.297485,150.666977,,,,,,
20,0,,,,,,,-0.001345,0.001349,0.006391,1035.328613,1044.410645,501.033356,2.617013,-1.702275,0.059463,962.224182,-1769.302979,150.651230,,,,,,
21,0,,,,,,,-0.001768,0.002239,0.006406,1035.446167,1044.354370,501.182983,2.616637,-1.701794,0.058227,961.943420,-1769.317993,150.425003,,,,,,
22,0,,,,,,,-0.001353,0.001371,0.005730,1035.311157,1044.469238,501.017700,2.616978,-1.702381,0.059395,962.212219,-1769.313843,150.661499,,,,,,
23,0,,,,,,,-0.000971,0.000784,0.004694,1035.062744,1044.751953,500.882690,2.616589,-1.701680,0.058183,961.939392,-1769.325195,150.410187,,,,,,
24,0,,,,,,,-0.001052,0.000758,0.004451,1035.067505,1044.759399,500.888641,2.616965,-1.702343,0.059362,962.217041,-1769.280762,150.667755,,,,,,
25,0,,,,,,,-0.000925,0.000860,0.004130,1035.051025,1044.769043,500.880005,2.616564,-1.701693,0.058190,961.924194,-1769.346436,150.417130,,,,,,
26,0,,,,,,,-0.000920,0.000876,0.003855,1035.049683,1044.768921,500.883057,2.616973,-1.702360,0.059459,962.206360,-1769.288086,150.658554,,,,,,
27,0,,,,,,,-0.000993,0.000909,0.003673,1035.042969,1044.781128,500.897156,2.616972,-1.702411,0.059420,962.235596,-1769.277954,150.671387,,,,,,
