Objects
30
,,Global Angle Crazyflie_01:Crazyflie_01,,,,,,Global Angle LowerTriangle:LowerTriangle,,,,,,Global Angle MXS:MXS,,,,,,Global Angle clover13:clover13,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,,,,,,,,,,,,,2.201085,2.269219,-0.056537,1051.231567,1103.305664,613.017761,,,,,,
2,0,,,,,,,,,,,,,2.197502,2.272895,-0.056776,1052.043823,1102.962158,612.926086,,,,,,
3,0,,,,,,,,,,,,,2.194511,2.275958,-0.057669,1052.832764,1102.526611,612.713196,,,,,,
4,0,,,,,,,,,,,,,2.192178,2.278121,-0.058743,1053.616089,1102.070923,612.386353,,,,,,
5,0,,,,,,,,,,,,,2.190404,2.279938,-0.057550,1054.450928,1101.819580,612.702332,,,,,,
6,0,,,,,,,,,,,,,2.189780,2.280615,-0.059066,1055.338745,1101.382690,612.316162,,,,,,
7,0,,,,,,,,,,,,,2.188325,2.281883,-0.044160,1056.588379,1102.231201,616.629883,,,,,,
8,0,,,,,,,,,,,,,2.188504,2.281647,-0.044309,1057.301758,1101.906372,616.641602,,,,,,
9,0,,,,,,,,,,,,,2.189844,2.280455,-0.044092,1058.145264,1101.663696,616.690796,,,,,,
10,0,,,,,,,,,,,,,2.192058,2.278469,-0.044351,1059.000366,1101.365601,616.684326,,,,,,
11,0,,,,,,,,,,,,,2.194828,2.275936,-0.044412,1059.781128,1101.156372,616.679871,,,,,,
12,0,,,,,,,,,,,,,2.198852,2.272259,-0.044430,1060.625732,1101.058105,616.615967,,,,,,
13,0,,,,,,,,,,,,,2.202476,2.268681,-0.044721,1061.232910,1100.719360,616.613220,,,,,,
14,0,,,,,,,,,,,,,2.207009,2.264173,-0.044632,1061.933228,1100.604614,616.607239,,,,,,
15,0,,,,,,,,,,,,,2.212387,2.259032,-0.044410,1062.623169,1100.480835,616.620789,,,,,,
16,0,,,,,,,,,,,,,2.218078,2.253486,-0.044686,1063.226685,1100.314941,616.622742,,,,,,
17,0,,,,,,,,,,,,,2.224921,2.247275,-0.044479,1063.768555,1100.034058,616.555969,,,,,,
18,0,,,,,,,,,,,,,2.230839,2.241417,-0.044434,1064.170532,1100.246948,616.558044,,,,,,
19,0,,,,,,,,,,,,,2.237621,2.235002,-0.044413,1064.542847,1100.300415,616.544189,,,,,,
20,0,,,,,,,,,,,,,2.245801,2.227960,-0.043723,1064.746094,1100.091919,616.388916,,,,,,
21,0,,,,,,,,,,,,,2.252481,2.221097,-0.043412,1064.984741,1100.066040,616.406372,,,,,,
22,0,,,,,,,,,,,,,2.258791,2.214596,-0.043700,1065.204346,1100.364258,616.434326,,,,,,
