Objects
30
,,Global Angle Crazyflie_01:Crazyflie_01,,,,,,Global Angle LowerTriangle:LowerTriangle,,,,,,Global Angle MXS:MXS,,,,,,Global Angle clover13:clover13,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,,,,,,,,,,,,,2.158822,2.308928,-0.064699,1053.152466,1076.978027,536.346375,,,,,,
2,0,,,,,,,,,,,,,2.158214,2.309133,-0.063489,1053.100708,1077.244507,536.767822,,,,,,
3,0,,,,,,,,,,,,,2.159287,2.308840,-0.065099,1053.070068,1076.935791,536.130127,,,,,,
4,0,,,,,,,,,,,,,2.159147,2.308782,-0.064836,1053.002441,1076.911133,536.224365,,,,,,
5,0,,,,,,,,,,,,,2.158778,2.308631,-0.064380,1052.976807,1077.052124,536.500244,,,,,,
6,0,,,,,,,,,,,,,2.158732,2.308637,-0.064093,1052.934692,1077.120483,536.575806,,,,,,
7,0,,,,,,,,,,,,,2.158792,2.308566,-0.063866,1052.860718,1077.093384,536.625916,,,,,,
8,0,,,,,,,,,,,,,2.158705,2.308619,-0.063205,1052.783691,1077.144531,536.820557,,,,,,
9,0,,,,,,,,,,,,,2.158573,2.308685,-0.062609,1052.745605,1077.258057,536.998413,,,,,,
10,0,,,,,,,,,,,,,2.158720,2.308547,-0.063320,1052.674927,1077.191284,536.797668,,,,,,
11,0,,,,,,,,,,,,,2.158775,2.308517,-0.063874,1052.619751,1077.214722,536.662109,,,,,,
12,0,,,,,,,,,,,,,2.159344,2.308159,-0.065564,1052.685181,1077.186523,536.276917,,,,,,
13,0,,,,,,,,,,,,,2.158585,2.308690,-0.063283,1052.466187,1077.331421,536.805176,,,,,,
14,0,,,,,,,,,,,,,2.157224,2.308613,-0.062969,1052.341064,1077.789795,537.278503,,,,,,
15,0,,,,,,,,,,,,,2.157044,2.308774,-0.062473,1052.249878,1077.833130,537.419495,,,,,,
16,0,,,,,,,,,,,,,2.155861,2.309741,-0.049756,1052.230713,1079.001343,541.142944,,,,,,
17,0,,,,,,,,,,,,,2.155878,2.309956,-0.049596,1052.312378,1079.162842,541.151978,,,,,,
18,0,,,,,,,,,,,,,2.155988,2.310386,-0.049189,1052.218140,1078.972290,541.038574,,,,,,
19,0,,,,,,,,,,,,,2.155800,2.310524,-0.049118,1052.122803,1079.089966,541.022095,,,,,,
20,0,,,,,,,,,,,,,2.154919,2.310654,-0.049488,1052.031128,1079.320190,541.134644,,,,,,
21,0,,,,,,,,,,,,,2.154904,2.310543,-0.049759,1051.983765,1079.598389,541.233521,,,,,,
22,0,,,,,,,,,,,,,2.154504,2.310590,-0.049768,1051.787354,1079.564209,541.212708,,,,,,
23,0,,,,,,,,,,,,,2.155142,2.311142,-0.049273,1051.833130,1079.372925,541.049255,,,,,,
24,0,,,,,,,,,,,,,2.155028,2.311335,-0.049166,1051.780518,1079.461670,541.044861,,,,,,
25,0,,,,,,,,,,,,,2.153389,2.311327,-0.049849,1051.667847,1079.885986,541.240540,,,,,,
26,0,,,,,,,,,,,,,2.154254,2.311053,-0.049687,1051.544556,1079.735962,541.198975,,,,,,
27,0,,,,,,,,,,,,,2.153393,2.311669,-0.049717,1051.541138,1079.999390,541.198120,,,,,,
28,0,,,,,,,,,,,,,2.153099,2.312154,-0.049424,1051.583496,1080.053467,541.152100,,,,,,
29,0,,,,,,,,,,,,,2.152936,2.312397,-0.049542,1051.566650,1080.101074,541.140625,,,,,,
30,0,,,,,,,,,,,,,2.152763,2.312446,-0.049480,1051.496582,1080.177124,541.147461,,,,,,
31,0,,,,,,,,,,,,,2.152654,2.312449,-0.049688,1051.439331,1080.262085,541.162476,,,,,,
32,0,,,,,,,,,,,,,2.152435,2.312246,-0.049900,1051.364746,1080.412354,541.234619,,,,,,
33,0,,,,,,,,,,,,,2.151855,2.312742,-0.049800,1051.464111,1080.496460,541.239441,,,,,,
34,0,,,,,,,,,,,,,2.152072,2.312624,-0.050034,1051.530518,1080.700562,541.298157,,,,,,
35,0,,,,,,,,,,,,,2.151656,2.312903,-0.049796,1051.458740,1080.625122,541.245178,,,,,,
36,0,,,,,,,,,,,,,2.151617,2.312991,-0.049895,1051.468628,1080.648804,541.230835,,,,,,
