time,x,y,z,u,v,w,qx,qy,qz,qw,p,q,r,alpha,airspeed,elevator,throttle
0,0.1499, 0.0000, 0.0000, 14.9722, 0.0000, 0.5386, 0.0000, 0.0180, 0.0000, 0.9998, 0.0000, 0.0006, 0.0000,0.035954538281206136,14.981875257564106,-0.11582071665622858,0.0
0.01,0.2996, 0.0000, 0.0000, 14.9541, 0.0000, 0.5384, 0.0000, 0.0179, 0.0000, 0.9998, 0.0000, -0.0047, 0.0000,0.03598740082219287,14.963785814524996,-0.119761743284246,0.0
0.02,0.4492, 0.0000, 0.0000, 14.9361, 0.0000, 0.5370, 0.0000, 0.0179, 0.0000, 0.9998, 0.0000, -0.0186, 0.0000,0.03593706682707089,14.94573615156923,-0.12605348262884286,0.0
0.03,0.5986, 0.0000, 0.0001, 14.9182, 0.0000, 0.5336, 0.0000, 0.0178, 0.0000, 0.9998, 0.0000, -0.0357, 0.0000,0.035752508078282584,14.927732449144708,-0.12934487763740685,0.0
0.04,0.7477, 0.0000, 0.0001, 14.9004, 0.0000, 0.5293, 0.0000, 0.0176, 0.0000, 0.9998, 0.0000, -0.0376, 0.0000,0.035506977603410234,14.909778035936833,-0.1200709021458831,0.0
0.05,0.8967, 0.0000, 0.0002, 14.8826, 0.0000, 0.5248, 0.0000, 0.0174, 0.0000, 0.9998, 0.0000, -0.0464, 0.0000,0.03524777655168921,14.891873488979455,-0.1252505314717498,0.0
0.060000000000000005,1.0456, 0.0000, 0.0003, 14.8649, 0.0000, 0.5198, 0.0000, 0.0171, 0.0000, 0.9999, 0.0000, -0.0531, 0.0000,0.03495200679990092,14.8740245738704,-0.12454620409705307,0.0
0.07,1.1942, 0.0000, 0.0004, 14.8473, 0.0000, 0.5151, 0.0000, 0.0168, 0.0000, 0.9999, 0.0000, -0.0507, 0.0000,0.03467993264202315,14.856233601481453,-0.11880965936877395,0.0
0.08,1.3427, 0.0000, 0.0006, 14.8297, 0.0000, 0.5122, 0.0000, 0.0166, 0.0000, 0.9999, 0.0000, -0.0387, 0.0000,0.034522326880884746,14.838499772978,-0.11221915710665847,0.0
0.09,1.4910, 0.0000, 0.0008, 14.8120, 0.0000, 0.5115, 0.0000, 0.0165, 0.0000, 0.9999, 0.0000, -0.0254, 0.0000,0.03452206520562153,14.820821513950037,-0.11051746088959838,0.0
0.09999999999999999,1.6391, 0.0000, 0.0010, 14.7943, 0.0000, 0.5136, 0.0000, 0.0164, 0.0000, 0.9999, 0.0000, -0.0059, 0.0000,0.034701515507683,14.803197128814999,-0.10525237698056365,0.0
0.10999999999999999,1.7871, 0.0000, 0.0013, 14.7765, 0.0000, 0.5181, 0.0000, 0.0164, 0.0000, 0.9999, 0.0000, 0.0080, 0.0000,0.03504586830876702,14.78562325276755,-0.1076815744111743,0.0
0.11999999999999998,1.9348, 0.0000, 0.0017, 14.7588, 0.0000, 0.5253, 0.0000, 0.0165, 0.0000, 0.9999, 0.0000, 0.0351, 0.0000,0.03557704941058154,14.768095665761367,-0.09720959860779906,0.0
0.12999999999999998,2.0824, 0.0000, 0.0021, 14.7408, 0.0000, 0.5368, 0.0000, 0.0168, 0.0000, 0.9999, 0.0000, 0.0741, 0.0000,0.03640197195361025,14.750602134259973,-0.0867376228044238,0.0
0.13999999999999999,2.2298, 0.0000, 0.0025, 14.7227, 0.0000, 0.5532, 0.0000, 0.0172, 0.0000, 0.9999, 0.0000, 0.1143, 0.0000,0.03755743221140428,14.733127689570251,-0.0825475381682124,0.0
0.15,2.3771, 0.0000, 0.0030, 14.7044, 0.0000, 0.5744, 0.0000, 0.0179, 0.0000, 0.9998, 0.0000, 0.1592, 0.0000,0.03904118666356507,14.715655195916508,-0.07570307422377728,0.0
0.16,2.5242, 0.0000, 0.0035, 14.6859, 0.0000, 0.5995, 0.0000, 0.0188, 0.0000, 0.9998, 0.0000, 0.1945, 0.0000,0.04079707513056591,14.698163884560332,-0.07820449758269452,0.0
0.17,2.6711, 0.0000, 0.0039, 14.6741, 0.0000, 0.6273, 0.0000, 0.0199, 0.0000, 0.9998, 0.0000, 0.2284, 0.0000,0.04272431188797063,14.687482468353421,-0.06923542190291546,0.10886585712432861
